Tag,Video ID's
boardwalk,Granville Island; La Dune de Bouctouche; Dartmouth; Collingwood 3; Walk to Harbourfront Centre; Ward's Island; Brackley Beach; Nice; Portugal 1
marina,Granville Island; Walk to Harbourfront Centre; Ward's Island
boats,Granville Island; Vancouver 1; Vancouver 2; Dartmouth; Gravenhurst; Charlottetown; Gaspé South Coast; Aegean Islands; Burano; Naples Waterfront 1; Naples Waterfront 2; Naples Waterfront 3; Ponza 1; Portofino 1; Portofino 2; Portugal 6; Portugal 7; South Korea 6; San Francisco 1
stanley park,Stanley Park 1; Stanley Park 2
walk,"Stanley Park 1; Stanley Park 2; UBC Vancouver; Vancouver 1; Vancouver 2; Vancouver 3 - Capilano; Country Inn; Fredericton 7; Fredericton 8; Fredericton 9; Kingsbrae Garden 1; Kingsbrae Garden 2; La Dune de Bouctouche; Middlehead Trail; Arnprior; Autumn by the Water; Brockville; Brockville Waterfront; Cherry Blossoms; Chinatown 1; Chinatown 2; Collingwood 3; Highway 35 to Dorset; Mont Royal Park; Vieux Montréal 1; Vieux Montréal 2; Vieux Montréal 3; Paris 1; A Walk in Venice; Amalfi Walk; Naples Via Chiaia 1; Naples Via Chiaia 2; Portugal 11; South Korea 6; San Francisco 1; San Francisco 2; San Francisco 3; San Francisco 4; Chicago 1, Michigan Avenue; Chicago 2, To the Art Institute; Seattle Pike Place"
ubc,UBC Vancouver
university of british columbia,UBC Vancouver
park,"UBC Vancouver; Vancouver 1; Vancouver 2; Vancouver 3 - Capilano; Dartmouth; Black Creek Trail 1; Black Creek Trail 2; Centre Island; Centreville; Cherry Blossoms; Collingwood 2; Collingwood 3; Laurier Woods; Perth 1; Perth 2; Philosopher's Walk; Screaming Heads; Sunset Park, North Bay; Toronto Botanical Garden; Toronto Music Garden; Walk to Harbourfront Centre; Ward's Island; 2 Montreal Parks; Mont Royal Park; Temple of Heaven; Paris 3; Paris 5; Hamburg 2; Guatemala 5; Lucca Wall; 2 Shinto Shrines; Ginkaku-ji 1; Ginkaku-ji 2; Kinkaku-Ji; Philospher's Walk; Shiba Park & Tokyo Tower; Walk to Kita-No-Maru Park; Portugal 8; South Korea 6; Green Lake 1; Green Lake 2; Mt St Helens 1; Mt St Helens 2; Seattle Waterfront 1; Seattle Waterfront 2; Seattle Waterfront 3; Tumwater Falls 1; Tumwater Falls 2; Washington Square Park, NYC"
gardens,UBC Vancouver; Grey County 2; Screaming Heads; Spring Blossoms; Summer Flowers; Forbidden City 1; Forbidden City 2; Forbidden City 3; Temple of Heaven; Ginkaku-ji 1
roses,UBC Vancouver
campus,UBC Vancouver
beach,Vancouver 2; La Dune de Bouctouche; Birchaven Cove; Brackley Beach; Boom Défense 1; Boom Défense 2; Cap-des-Rosiers; Forillon 1; Nice; Amalfi Walk; Portugal 1; Portugal 7; San Francisco 2
capilano suspension bridge,Vancouver 3 - Capilano
rainforest,Vancouver 3 - Capilano
new brunswick,Atholville Lunch Stop; Campbellton; Country Inn; Fredericton 1; Fredericton 2; Fredericton 3; Fredericton 4; Fredericton 5; Fredericton 6; Fredericton 7; Fredericton 8; Fredericton 9; Fredericton to YCC; Into Sackville; Kingsbrae Garden 1; Kingsbrae Garden 2; La Dune de Bouctouche; New Brunswick; North Near Edmundston; Provincial Border near Campbellton; South toward Moncton; St. Andrews Drive; St. John Reversing Falls ; Through Moncton and South; Highway Rock Cuts
athoville lunch stop,Atholville Lunch Stop
highway,Atholville Lunch Stop; Campbellton; North Near Edmundston; Provincial Border near Campbellton; South toward Moncton; Through Moncton and South; Across the NS Border; Cabot Trail 1; Cabot Trail 2; Cap-des-Rosiers; Pont Jacques Cartier Bridge; St Lawrence / St Laurent; South Korea 1; South Korea 2; South Korea 3; South Korea 4; South Korea 5; South Korea 7; Highway 152 ; Pacheco Pass
drive,"Atholville Lunch Stop; Campbellton; Into Sackville; North Near Edmundston; Provincial Border near Campbellton; South toward Moncton; St. Andrews Drive; St. John Reversing Falls ; Through Moncton and South; Across the NS Border; Cabot Trail 1; Cabot Trail 2; Canso Causeway; Cape Breton Highlands; Into Truro; North Central Trans-Canada Highway, NS; Past Beddeck; Seal Island Bridge; Sydney to Glace Bay; To Baddeck and the Bell Museum; Toward Margaree; Toward Truro; Whycocomagh Bay; Algonquin Drive 1; Algonquin Drive 2; Algonquin Drive 3; Bailieboro Fall Drive; Cloudy Bewdley; Collingwood 1; Drive into Toronto; Grey County 1; Grey County 7; Highway 35 to Dorset; Meaford; Niagara Drive; North Bay; North of Meaford; Road to the Cottage; To St Catharines and a Winery; Confederation Bridge; Malpeque > Kensington; New London > Seaview; O'Leary Drive; To Hunter River; To Stanley Bridge; Cap-des-Rosiers; St Lawrence / St Laurent; Guatemala 2; Amalfi Drive 1; Amalfi Drive 2; South Korea 1; South Korea 2; South Korea 3; South Korea 4; South Korea 5; South Korea 7; Highway 152 ; Pacheco Pass; Yosemite Park 1"
campbellton,Campbellton; Provincial Border near Campbellton
country inn,Country Inn
little shemogue,Country Inn
little shemogue harbour,Country Inn
drone,Country Inn; Kingsbrae Garden 1; Kingsbrae Garden 2; La Dune de Bouctouche; St. John Reversing Falls ; Glace Bay Museums; Seal Island Bridge; Skyline Trail; Brackley Beach; Charlottetown; O'Leary from Above; Percé Rock; 2 Shinto Shrines; Portugal 1; Portugal 2; Portugal 4; Portugal 5
dirt road,Country Inn; Across the NS Border
countryside,"Country Inn; North Near Edmundston; Provincial Border near Campbellton; South toward Moncton; Across the NS Border; Canso Causeway; Hwy 30 towards Cheticamp; Into Truro; North Central Trans-Canada Highway, NS; Past Beddeck; Seal Island Bridge; Sydney to Glace Bay; To Baddeck and the Bell Museum; Toward Margaree; Toward Truro; Whycocomagh Bay; At the Cottage; Bailieboro Fall Drive; Cloudy Bewdley; Collingwood 1; Dunnville; Grey County 2; Laurier Woods; Niagara Drive; North of Meaford; Road to the Cottage; Screaming Heads; To St Catharines and a Winery; Brackley Beach; Confederation Bridge; Malpeque > Kensington; New London > Seaview; O'Leary from Above; To Hunter River; To Stanley Bridge; Cap-des-Rosiers; Forillon 1; Forillon 2; Gaspé South Coast; Percé Rock; Percé to Pont Ste. Majorique; St Lawrence / St Laurent; Saskatchewan; Roadside Attractions; South Korea 2; South Korea 3; South Korea 4"
fredericton,Fredericton 1; Fredericton 2; Fredericton 3; Fredericton 4; Fredericton 5; Fredericton 6; Fredericton 7; Fredericton 8; Fredericton 9; Fredericton to YCC
spring,Fredericton 1; Fredericton 2; Fredericton 3; Fredericton 4; Fredericton 5; Fredericton 6; Cherry Blossoms; Collingwood 1; Collingwood 2; Spring Blossoms
bill thorpe bridge,Fredericton 1
carlton st armoury,Fredericton 1
104th regiment of foot bridge,Fredericton 1
st john river,Fredericton 1
christ church cathedral,Fredericton 1; Fredericton 2; Fredericton 5
carlton st bridge,Fredericton 1
lighthouse restaurant,Fredericton 1
cathedral area,Fredericton 2
houses,Fredericton 2; Fredericton 3; Fredericton 4; 3 Crazy Houses; Portugal 7; Portugal 9
architecture,"Fredericton 2; Fredericton 3; Fredericton 4; Fredericton 5; Fredericton 6; Arnprior; Brockville; Brockville Waterfront; Collingwood 1; Distillery Xmas 1; Distillery Xmas 2; Distillery Xmas 3; Dundas Square; Heritage Architecture Toronto; Kingston; University of Toronto; 2 Montreal Parks; Montreal Streets; Vieux Montréal 1; Vieux Montréal 2; Vieux Montréal 3; Forbidden City 1; Forbidden City 2; Forbidden City 3; Temple of Heaven; Nice; Paris 2; Paris 4; Paris 7; Paris 8; Hamburg 1; Aegean Islands; Guatemala 5; Guatemala 6; Assisi 1; Assisi 2; Civita di Bagnoregio; Herculaneum 1; Herculaneum 2; Matera 1; Matera 2; Matera 3; Paestum; Pitigliano 1; Pitigliano 2; Pompeii 1; Pompeii 2; Ponza 2; Sermoneta 1; Sermoneta 2; Ginkaku-ji 1; Kiyomizu-Dera; Senso-Ji ; Shiba Park & Tokyo Tower; Zenko-Ji; Portugal 2; Portugal 3; Portugal 5; Portugal 9; Portugal 10; Portugal 11; Zurich Bike Ride 1; Bangkok Streets; Broadway NYC; Washington Square Park, NYC"
town plat,Fredericton 3; Fredericton 4
history,Fredericton 4; Fredericton 5; Fredericton 6; Arnprior; Brockville; Brockville Waterfront; Collingwood 1; Distillery Xmas 1; Distillery Xmas 2; Distillery Xmas 3; Gravenhurst; Heritage Architecture Toronto; Perth 1; Perth 2; St Lawrence Market; Vieux Montréal 1; Vieux Montréal 2; Vieux Montréal 3; Forbidden City 1; Forbidden City 2; Forbidden City 3; Temple of Heaven; Paris 2; Paris 7; Aegean Islands; Guatemala 5; Guatemala 6; Ginkaku-ji 1; Ginkaku-ji 2; Gion Matsuri; Kinkaku-Ji; Kiyomizu-Dera; Senso-Ji ; Walk to Kita-No-Maru Park; Zenko-Ji; Portugal 5; Portugal 10
queen st.,Fredericton 5; Fredericton 6
odell park spring,Fredericton 7; Fredericton 8
paths,Fredericton 7; Fredericton 8; Fredericton 9; Guatemala 1
northside trail,Fredericton 9
drive to york care centre,Fredericton to YCC
sackville,Into Sackville
st. andrews-by-the-sea,Kingsbrae Garden 1; Kingsbrae Garden 2; St. Andrews Drive
kingsbrae garden,Kingsbrae Garden 1; Kingsbrae Garden 2
flowers,Kingsbrae Garden 1; Kingsbrae Garden 2; Abbey Gardens; Centre Island; Cherry Blossoms; Collingwood 2; Grey County 2; Spring Blossoms; Summer Flowers; Toronto Botanical Garden; Toronto Music Garden; Hamburg 2; Guatemala 1; Guatemala 4; Guatemala 7; South Korea 6
garden,Kingsbrae Garden 1; Kingsbrae Garden 2; Abbey Gardens; Centre Island; Toronto Botanical Garden; Toronto Music Garden; Ward's Island; Paris 1; Paris 3; Paris 5; Paris 7; Hamburg 2; Guatemala 1; Guatemala 4; Guatemala 5; Guatemala 7; 2 Shinto Shrines; Ginkaku-ji 2; Kinkaku-Ji; Kiyomizu-Dera; Shiba Park & Tokyo Tower
la dune de bouctouche,La Dune de Bouctouche
irving eco-centre,La Dune de Bouctouche
atlantic ocean,La Dune de Bouctouche; Cabot Trail 1; Cabot Trail 2; Cape Breton Highlands; Dartmouth; Glace Bay Museums; Middlehead Trail; Brackley Beach; Cap-des-Rosiers; Forillon 1; Forillon 2; Gaspé South Coast; Percé Rock; Portugal 1; Portugal 6; Portugal 7
swimming,La Dune de Bouctouche; Birchaven Cove; Summer Camp Canoe Races
quebec,North Near Edmundston; 2 Montreal Parks; Boom Défense 1; Boom Défense 2; Cap-des-Rosiers; Forillon 1; Forillon 2; Gaspé South Coast; Mont Royal Park; Montreal Streets; Percé Rock; Percé to Pont Ste. Majorique; Pont Jacques Cartier Bridge; Rivière Matapédia River; St Lawrence / St Laurent; Vieux Montréal 1; Vieux Montréal 2; Vieux Montréal 3
edmundston,North Near Edmundston
moncton,South toward Moncton; Through Moncton and South
st. john,St. John Reversing Falls 
reversing falls,St. John Reversing Falls 
reversing rapids,St. John Reversing Falls 
bay of fundy,St. John Reversing Falls 
york care centre,York Care Centre
nova scotia,"Across the NS Border; Cabot Trail 1; Cabot Trail 2; Canso Causeway; Cape Breton Highlands; Dartmouth; Glace Bay Museums; Hwy 30 towards Cheticamp; Into Truro; Middlehead Trail; North Central Trans-Canada Highway, NS; Past Beddeck; Seal Island Bridge; Skyline Trail; Sydney to Glace Bay; To Baddeck and the Bell Museum; Toward Margaree; Toward Truro; Uisge Ban Falls Trail; Whycocomagh Bay"
border,Across the NS Border
farms,Across the NS Border; Grey County 6; Malpeque > Kensington; New London > Seaview; Saskatchewan; South Korea 2; South Korea 3; South Korea 4
cape breton,Cabot Trail 1; Cabot Trail 2
cabot trail,Cabot Trail 1
ingonish,Cabot Trail 1
canso causeway,Canso Causeway
cape breton highlands national park,Cape Breton Highlands; Skyline Trail
harbour,Dartmouth; Meaford; Charlottetown; Ponza 1; Portofino 1; Portofino 2
coast,Dartmouth; Glace Bay Museums; Boom Défense 1; Boom Défense 2; Cap-des-Rosiers; Forillon 1; Forillon 2; Gaspé South Coast; Percé Rock; Percé to Pont Ste. Majorique
shore,Dartmouth; Glace Bay Museums
ships,Dartmouth; Charlottetown
trains,Dartmouth; Roundhouse Park; Saskatchewan
glace bay,Glace Bay Museums
marconi museum,Glace Bay Museums
miners' museum,Glace Bay Museums
highway 30,Hwy 30 towards Cheticamp; Toward Margaree
cheticamp,Hwy 30 towards Cheticamp
gulf of st lawrence,Hwy 30 towards Cheticamp
truro,Into Truro
cape breton national park,Middlehead Trail
,Middlehead Trail; South Korea 5
trans-canada highway,"North Central Trans-Canada Highway, NS; Confederation Bridge"
highway 105,Past Beddeck; Seal Island Bridge; To Baddeck and the Bell Museum; Whycocomagh Bay
baddeck,Past Beddeck; To Baddeck and the Bell Museum
bras d'or lake,Past Beddeck; To Baddeck and the Bell Museum; Whycocomagh Bay
seal island bridge,Seal Island Bridge
skyline trail,Skyline Trail
sydney,Sydney to Glace Bay
margaree,Toward Margaree
highway 4,Toward Truro
whycocomagh bay,Whycocomagh Bay
